gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2022-12-17-16-42-17-600,-0.0,0.0,0.0,1.4484,2.9365,0.0226,0.03518369871448761,0.01846792168624561,0.45827347197544843
2022-12-17-16-42-17-650,0.07297040720353126,0.1468862052437539,0.0005999979242617831,1.4496,2.9421,0.0203,0.03490592511344312,0.01872553231874656,0.4584668649809047
2022-12-17-16-42-17-700,0.14601510901011733,0.2938234024011729,0.0012999906644748649,1.4531,2.9451,0.026,0.03465371313338444,0.01891597864992019,0.45864874258320915
2022-12-17-16-42-17-750,0.21914858048360372,0.4409590266710275,0.0020999795857181425,1.4559,2.9487,0.0258,0.03441423942141815,0.019054182494379485,0.4588119459130087
2022-12-17-16-42-17-800,0.2925097575415326,0.5881910923924941,0.002899965264962001,1.4627,2.9513,0.0227,0.03418157943994506,0.019092491284636873,0.4589671377626626
2022-12-17-16-42-17-850,0.3660397913266591,0.7354841275224261,0.0036999472549219536,1.4684,2.9503,0.0278,0.03416701410883181,0.01904291353171789,0.4591721449569066
2022-12-17-16-42-17-900,0.43984384963881173,0.8827649705600744,0.004499923716400123,1.4738,2.9482,0.0241,0.03445796864582687,0.018956114869717586,0.45939280637573093
2022-12-17-16-42-17-950,0.5139267600077674,1.030089046136327,0.005199894867924437,1.4785,2.9493,0.0232,0.03491169321718145,0.019002030328453937,0.4596333599054522
2022-12-17-16-42-18-000,0.5882277274897513,1.1773831922011775,0.005699863474986744,1.4813,2.949,0.0203,0.03531058086988861,0.01904324291025433,0.45984518620580345
2022-12-17-16-42-18-050,0.6627149196749419,1.3247815400242569,0.0061998272077452565,1.4864,2.9508,0.0187,0.035883485406295254,0.01918090512668685,0.46005779505943145
2022-12-17-16-42-18-100,0.7371364970959456,1.4720756873143155,0.0066997871727942915,1.4834,2.9494,0.0233,0.03657157601846675,0.019222354794012828,0.4603004096135598
2022-12-17-16-42-18-150,0.81151368774615,1.6195283537541632,0.007399741080967193,1.4798,2.9514,0.0218,0.037032703107137695,0.019317718065905348,0.4604774656565391
2022-12-17-16-42-18-200,0.8857808795214166,1.7671085008598486,0.007999692356804311,1.4771,2.9555,0.0149,0.03724406790752818,0.019634228097780548,0.460550700282818
2022-12-17-16-42-18-250,0.9598078121651072,1.9148560362770557,0.008299639058048314,1.4692,2.9565,0.0166,0.03731393338512564,0.020166331391584913,0.4605757984141676
2022-12-17-16-42-18-300,1.0336456262222657,2.062660107648263,0.00899958088320707,1.4662,2.9626,0.0236,0.03728711973474762,0.020771598433847283,0.4605507950018365
2022-12-17-16-42-18-350,1.10730879355574,2.2103754963213103,0.009899518770553839,1.465,2.9599,0.0308,0.037147416984073416,0.02118612017003515,0.46048606526028285
2022-12-17-16-42-18-400,1.1807944223349542,2.3581429871308712,0.011099451793823656,1.4607,2.9612,0.0327,0.036688679530401135,0.02143229842469663,0.46045422849995765
2022-12-17-16-42-18-450,1.2542105759308741,2.5058772223964354,0.012399382315289253,1.4627,2.9593,0.0363,0.03598399902263736,0.02168854946316357,0.4604228445129471
2022-12-17-16-42-18-500,1.3275591827807924,2.6535682245478274,0.013899308039365232,1.4636,2.9548,0.0387,0.035550056379544025,0.02185520090034002,0.46046639688314267
2022-12-17-16-42-18-550,1.400973402692239,2.8011816341320284,0.015399228174540092,1.4652,2.9541,0.0338,0.03533761052221485,0.022116924663022678,0.4604624457893287
2022-12-17-16-42-18-600,1.4744898994769466,2.948677537427405,0.01659914551261288,1.4698,2.9501,0.0294,0.03504041679966305,0.022377211583398636,0.4604086620023519
2022-12-17-16-42-18-650,1.5481501601046497,3.096089194622076,0.01769905752180634,1.4736,2.9496,0.0265,0.03500480951728837,0.02262646734222358,0.4602708831106589
2022-12-17-16-42-18-700,1.6219348897977512,3.243270279631133,0.018698965864831107,1.4772,2.9449,0.0242,0.035329609775844074,0.022678169806614062,0.46008894505014925
2022-12-17-16-42-18-750,1.695729265961143,3.3903460549091946,0.01959886841716285,1.4711,2.9441,0.0238,0.035746756050894626,0.022664725587745828,0.45994887234203347
2022-12-17-16-42-18-800,1.7696008328180506,3.5373209533762155,0.020498769515660875,1.4709,2.9421,0.0236,0.03596141119835085,0.022688826874293203,0.4598209922946327
2022-12-17-16-42-18-850,1.8434289775142458,3.6843612565058237,0.021298664279756352,1.4769,2.9423,0.0211,0.0363407331341845,0.022941334897099604,0.45979724010884226
2022-12-17-16-42-18-900,1.9171558061256104,3.8312618867377806,0.022298555530295472,1.4744,2.9398,0.0282,0.037124398901219706,0.023035048797942406,0.45980605789619583
2022-12-17-16-42-18-950,1.9908845622759166,3.9781325869758444,0.02329844242255219,1.4672,2.9412,0.0282,0.037765804713520576,0.02311005592824977,0.4597631520657683
2022-12-17-16-42-19-000,2.064493669371616,4.12488800064742,0.024498326620166377,1.4646,2.9406,0.029,0.03783389686678483,0.023131499113252945,0.4596199135572822
2022-12-17-16-42-19-050,2.1377361213290538,4.271738749089112,0.02569820499156128,1.4581,2.937,0.0343,0.03776153296781644,0.023006628554534628,0.4595103347357118
2022-12-17-16-42-19-100,2.210669807314194,4.418485296439387,0.026998079703399736,1.453,2.9345,0.0354,0.03776520911991333,0.022742587430937634,0.4593932059165033
2022-12-17-16-42-19-150,2.283420162443092,4.565143162088418,0.028497950613332934,1.4495,2.933,0.0361,0.03774086364435031,0.022567763664071646,0.45927144518544616
2022-12-17-16-42-19-200,2.3559292969850705,4.7115626963703825,0.030097814890789554,1.4445,2.9266,0.0373,0.03741145452974545,0.02233906015202661,0.45916831785128276
2022-12-17-16-42-19-250,2.428421059519679,4.857891330772565,0.031797680329908484,1.4479,2.924,0.0408,0.03707047831533616,0.02224336055518723,0.45907535850863546
2022-12-17-16-42-19-300,2.500999662045376,5.00400491319936,0.03339753674218793,1.451,2.9198,0.0395,0.03708374948480906,0.02208345354147939,0.45902321609910046
2022-12-17-16-42-19-350,2.5737017653183294,5.150094107096841,0.034997393349043726,1.4526,2.9211,0.0349,0.037159701780719555,0.021955133199868165,0.45895504706408263
2022-12-17-16-42-19-400,2.6464945659251837,5.295952729227667,0.03649724276985067,1.4573,2.9146,0.0344,0.037241165948580894,0.021659926429950006,0.45883314110417844
2022-12-17-16-42-19-450,2.7192902611533842,5.441701608564653,0.03779708883031985,1.4527,2.912,0.032,0.037795864379601335,0.02150073678147132,0.45878114015357935
2022-12-17-16-42-19-500,2.7920415694320475,5.587350720087244,0.03899693193857967,1.4473,2.9121,0.0283,0.03831069565078188,0.02151605965529311,0.45869643944715305
2022-12-17-16-42-19-550,2.8647340169028137,5.732882328078351,0.039996769408503496,1.4467,2.9101,0.0251,0.03842796933231832,0.021602274940990936,0.4585373758638062
2022-12-17-16-42-19-600,2.9372836622858745,5.878288674302327,0.04109660322743469,1.4455,2.9072,0.027,0.03854908804401009,0.021649355407002992,0.458385861108727
2022-12-17-16-42-19-650,3.0096316422867884,6.023642919909237,0.042096433834694746,1.4459,2.9038,0.0249,0.03898738678457031,0.021694242482837484,0.45824390601065307
2022-12-17-16-42-19-700,3.0819622522092627,6.168877445359593,0.04309626036171643,1.4432,2.9026,0.025,0.0395587675787268,0.021746882956981156,0.4581152431656294
2022-12-17-16-42-19-750,3.154332421918711,6.314078715342267,0.0440960813883029,1.4399,2.9039,0.0232,0.03964985741194581,0.02189190662313274,0.4579298513952361
2022-12-17-16-42-19-800,3.226534698469575,6.459129226972754,0.04509589961383442,1.4389,2.9018,0.026,0.03931594040858902,0.021958741650643373,0.45779199998511266
2022-12-17-16-42-19-850,3.2985575051653777,6.604179739127709,0.04619571420900748,1.4384,2.8976,0.0281,0.03930137790490915,0.022030598985249665,0.4577417661454745
2022-12-17-16-42-19-900,3.370357422344847,6.749009655691151,0.04739552375288403,1.4338,2.8935,0.032,0.03961664449441206,0.021939533342294086,0.457759615470655
2022-12-17-16-42-19-950,3.442201720687301,6.893614542114268,0.048695329596567305,1.4325,2.887,0.0332,0.039719639043925996,0.02190881394175607,0.4577419504347903
2022-12-17-16-42-20-000,3.5140788247520964,7.038049824045639,0.049895131986218644,1.4317,2.8886,0.0303,0.039499044907544384,0.021888508746331786,0.4576899321356183
2022-12-17-16-42-20-050,3.5858825957777,7.18234321546573,0.0511949311217994,1.4384,2.8805,0.0343,0.03934129025132339,0.021673774640180204,0.45766263274265623
2022-12-17-16-42-20-100,3.657563823816492,7.326522429577016,0.05229472539535074,1.4369,2.8754,0.0304,0.039521589308039104,0.02141904551136771,0.457766491771202
