gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2022-12-26-12-37-14-800,-0.0,0.0,0.0,0.0037,-2.0855,0.0027,0.002736817760969568,-0.047673712692508474,3.1303278720913124
2022-12-26-12-37-14-850,0.0007964430820685958,-0.10354787434243042,-0.00010000042803726128,0.0044,-2.0767,-0.0009,0.0024536063597476866,-0.04802276695392111,3.130173655444378
2022-12-26-12-37-14-900,0.0014957614808226091,-0.20775391623400746,-0.00020000430013035475,0.0012,-2.0901,0.0033,0.0021750879918047855,-0.04767912282921723,3.129983464786487
2022-12-26-12-37-14-950,0.0020149490775851625,-0.31143830888122415,-0.00040000736345191523,-0.0057,-2.0783,-0.0014,0.002054947956037783,-0.04807293131200169,3.129783824427333
2022-12-26-12-37-15-000,0.0024608530747510377,-0.41577420968023693,-0.0005000137590405185,-0.0038,-2.0929,0.0006,0.002104365958970329,-0.04764803666519019,3.1296233761346635
2022-12-26-12-37-15-050,0.00274163858480303,-0.5198015588481719,-0.0006000215835124112,-0.0051,-2.0827,-0.0047,0.002192998944561187,-0.04793221372218062,3.1295046364987287
2022-12-26-12-37-15-100,0.002846713522326766,-0.6244704302101847,-0.0005000305222877532,-0.0035,-2.0992,0.0019,0.002240630899710289,-0.047579945454403735,3.129472784501679
2022-12-26-12-37-15-150,0.0030497978799557957,-0.7286997812339724,-0.0002000424983575888,-0.0032,-2.0844,0.0015,0.002281434550866937,-0.04803215815174708,3.1294057483947855
2022-12-26-12-37-15-200,0.0033606041088235783,-0.8334829716298398,9.994507030103295e-05,0.0017,-2.0995,0.0034,0.0022509173641760603,-0.047842579615730824,3.129335735908105
2022-12-26-12-37-15-250,0.0037782504342132595,-0.9380863583285155,0.0001999304964767079,0.0015,-2.0921,-0.0045,0.0022733600992418503,-0.048039930626504974,3.129236054586923
2022-12-26-12-37-15-300,0.004246230232220705,-1.0430049551120781,0.00019991448882872298,0.0059,-2.1049,-0.0019,0.002180695595065103,-0.048011631753293385,3.1291076469264896
2022-12-26-12-37-15-350,0.004752173603608245,-1.1480056850330944,9.989767383777881e-05,0.0032,-2.1011,-0.0088,0.0020792270567293507,-0.048159139127690306,3.1289893774822546
2022-12-26-12-37-15-400,0.005124788074069686,-1.253121844052321,-0.00010012296853112446,0.001,-2.1071,-0.0028,0.0019190955064132388,-0.04830625437896419,3.1289023368652606
2022-12-26-12-37-15-450,0.005584820954797398,-1.3583944986662368,-0.00020014506664400855,0.0006,-2.1041,-0.0061,0.001934401328368236,-0.04833126206735201,3.1288842998473725
2022-12-26-12-37-15-500,0.006046618272209037,-1.463753725449806,-0.00030016864911608376,0.0049,-2.1117,-0.0044,0.001755605506283977,-0.048247565954989934,3.1288893511967464
2022-12-26-12-37-15-550,0.006609072153537954,-1.5695069652878146,-0.0006001932343454586,0.0033,-2.117,-0.0139,0.0016640849607121569,-0.04785037484958217,3.1288855494856636
2022-12-26-12-37-15-600,0.0070629203240619165,-1.6753012712993103,-0.0009002216725064738,0.0053,-2.124,-0.007,0.0015149592821261959,-0.047860725611977586,3.1288379474803643
2022-12-26-12-37-15-650,0.007641271841019981,-1.7815384270787749,-0.0013002490380146225,0.0035,-2.129,-0.0114,0.0014847221858736801,-0.047884570945990156,3.1287258039323644
2022-12-26-12-37-15-700,0.008052736351451428,-1.887812207471566,-0.001400280407005794,0.0023,-2.1306,-0.0027,0.0012768562993945437,-0.04828215871237701,3.1285874601823127
2022-12-26-12-37-15-750,0.008550736372523238,-1.9944988711410396,-0.0014003131796292978,0.0002,-2.1351,-0.0058,0.0013340684540743054,-0.04839426026775481,3.1284438581391965
2022-12-26-12-37-15-800,0.008792672116029854,-2.101277657552503,-0.0012003471308712488,-0.001,-2.1383,0.0003,0.0013638846816309955,-0.04855846688262165,3.128358703839151
2022-12-26-12-37-15-850,0.009164403603887372,-2.2083083884532195,-0.0012003829336459937,0.0013,-2.144,-0.0075,0.0015652607183662239,-0.04853234471423997,3.1283010182988185
2022-12-26-12-37-15-900,0.009384266518647877,-2.315790848305694,-0.0014004220758776498,0.0018,-2.1545,-0.0057,0.0014955062960690726,-0.048355907477746984,3.1282683143716543
2022-12-26-12-37-15-950,0.009961731568175147,-2.423181187496173,-0.0015004619847940326,0.0097,-2.1539,-0.0069,0.0014097645705571909,-0.04866003808122401,3.1282541418443426
2022-12-26-12-37-16-000,0.010721972141185976,-2.531365102543451,-0.0015005032046830902,0.0163,-2.1672,0.0011,0.0009120863603586681,-0.04842221072088783,3.1282500572153875
2022-12-26-12-37-16-050,0.011867194395428382,-2.639186080157965,-0.0013005489632904599,0.0171,-2.163,-0.0018,0.0005307866872298348,-0.04891539353889187,3.1282082666852586
2022-12-26-12-37-16-100,0.012940007511753948,-2.748073671206132,-0.0013005941754085093,0.0111,-2.1805,0.0015,0.0001851421184971907,-0.04849006161728959,3.128135741727307
2022-12-26-12-37-16-150,0.013994281453197588,-2.856439609557861,-0.0012006410698963688,0.0115,-2.1736,0.0004,7.134042044173082e-05,-0.04919694499236876,3.128009215182741
2022-12-26-12-37-16-200,0.014789842688374688,-2.9661784901277786,-0.0011006920645100227,0.008,-2.2006,0.0015,-0.0003025619364519124,-0.04867038896579246,3.12791575107342
2022-12-26-12-37-16-250,0.015538605845218711,-3.0753935006462676,-0.0011007446162494272,0.0037,-2.1912,-0.0047,-0.0003707070779122621,-0.04957135567640705,3.1278588443862665
2022-12-26-12-37-16-300,0.01623350960405412,-3.185850483431101,-0.0012007983208155437,0.0083,-2.2136,-0.0006,-0.00041485137652368933,-0.04945870992736848,3.127851371933607
2022-12-26-12-37-16-350,0.017056444651157965,-3.2959733907077875,-0.0013008549427764304,0.0094,-2.205,-0.007,-0.0003558147768169402,-0.05016779206823931,3.1277959980644154
2022-12-26-12-37-16-400,0.017796376179497808,-3.4071395996301237,-0.0014009118373217166,0.0102,-2.2282,0.0011,-0.0006332465202208422,-0.04975969516828072,3.1276819624573333
2022-12-26-12-37-16-450,0.018689066387335695,-3.518078279766102,-0.0014009734508622085,0.0082,-2.2207,-0.0008,-0.0005190431171847433,-0.05003806551484976,3.127543000494207
2022-12-26-12-37-16-500,0.019436063663413328,-3.6298804603549693,-0.0015010362855847337,0.0101,-2.2427,0.0022,-0.0005915269726326256,-0.049732812385411024,3.127446983247444
2022-12-26-12-37-16-550,0.020379082325441056,-3.741818047575999,-0.0015011014513424126,0.0116,-2.2429,-0.0074,-0.0005740391225934929,-0.04991216262878547,3.127338986095601
2022-12-26-12-37-16-600,0.021243515348107644,-3.854454870225439,-0.0019011688124874748,0.0151,-2.2593,-0.0086,-0.0009394990077359742,-0.04978969184542878,3.127301670205702
2022-12-26-12-37-16-650,0.022386086868729116,-3.96739580508571,-0.002301236628619918,0.015,-2.2604,-0.0141,-0.0010580453484563955,-0.049784936329362574,3.127246313929429
2022-12-26-12-37-16-700,0.02333970291257259,-4.080831754091006,-0.002701309601295332,0.0126,-2.2745,-0.0063,-0.0012239478299442268,-0.049499340075344185,3.127176197665472
2022-12-26-12-37-16-750,0.024477856896329753,-4.194572924204464,-0.002801382723770285,0.0148,-2.279,-0.0012,-0.001100375394763667,-0.04938366068226626,3.1270626724275696
2022-12-26-12-37-16-800,0.025376727270813637,-4.3088923518838165,-0.0028014591745781914,0.014,-2.2932,0.0028,-0.0013128328061724876,-0.04910362825865055,3.126913290970982
2022-12-26-12-37-16-850,0.02635771317940172,-4.423669057297401,-0.002901538162348505,0.0125,-2.3002,-0.0057,-0.0013337330192453646,-0.048923598785491094,3.1268107399445375
2022-12-26-12-37-16-900,0.02721773188355492,-4.53909616168678,-0.0033016190921650868,0.0129,-2.3158,-0.0079,-0.00144639306253051,-0.048642744294344405,3.126783318291261
2022-12-26-12-37-16-950,0.028336463157853098,-4.654980544586682,-0.0038017038403679315,0.017,-2.324,-0.0139,-0.0014802213133453446,-0.04858427476956492,3.1268100159994168
2022-12-26-12-37-17-000,0.02943841891835608,-4.77161854687516,-0.004401789667766831,0.0195,-2.339,-0.0111,-0.0018340633445087557,-0.04834800239287251,3.126769988653258
2022-12-26-12-37-17-050,0.030667521465007175,-4.888458549413477,-0.004901879375316387,0.0184,-2.3446,-0.0128,-0.002041195843636204,-0.04837990423652546,3.1266391868025165
2022-12-26-12-37-17-100,0.03169795344499704,-5.006136525067989,-0.005401971473297351,0.0165,-2.3577,-0.0049,-0.0020902349181348492,-0.04807678375980632,3.1264459775104174
2022-12-26-12-37-17-150,0.032780484422067824,-5.123797853028155,-0.0057020650412211715,0.0186,-2.3584,-0.0065,-0.001958306213014884,-0.04824442357693817,3.1262812335784864
2022-12-26-12-37-17-200,0.03378796039994203,-5.24246696828649,-0.0058021614891567985,0.0191,-2.3779,0.0003,-0.0021980320028850402,-0.04756264238237251,3.126256664473887
2022-12-26-12-37-17-250,0.03491375352796133,-5.360899675351116,-0.005802260292261607,0.017,-2.3736,-0.0021,-0.0022122308323086672,-0.04776524686910176,3.1262854296292613
2022-12-26-12-37-17-300,0.035878847911412715,-5.480443389138076,-0.005902361266636014,0.015,-2.3965,0.0013,-0.0021026906174213393,-0.047086645350273966,3.1263099611220158
2022-12-26-12-37-17-350,0.0368457079072233,-5.59964747522455,-0.005802465876119989,0.0165,-2.3875,0.0018,-0.0017049561910174413,-0.047329964022582396,3.126173456146144
2022-12-26-12-37-17-400,0.03760418453532677,-5.719826048689826,-0.0057025736591405085,0.0153,-2.4072,0.0062,-0.0017589146330924655,-0.04643045864124393,3.125952141206235
2022-12-26-12-37-17-450,0.038553381899336214,-5.839783755145746,-0.005802682121753389,0.0176,-2.3988,-0.002,-0.0017597949073540015,-0.04596545124931349,3.1257129584755607
2022-12-26-12-37-17-500,0.03969418918609713,-5.960603849827038,-0.006002793448619759,0.0252,-2.4221,-0.0002,-0.0019971767374920226,-0.04462774905464311,3.1256352121557125
2022-12-26-12-37-17-550,0.04122968527073656,-6.0816070793908015,-0.0062029075929790345,0.0288,-2.425,-0.002,-0.00205099405224373,-0.04387038061723331,3.1256689212878057
2022-12-26-12-37-17-600,0.042779308637429736,-6.20317857595021,-0.006203024257033007,0.0312,-2.4406,0.0034,-0.0024168711583439,-0.04320012672896512,3.1257132958302525
2022-12-26-12-37-17-650,0.044347476192116764,-6.325194030528161,-0.006103145193064208,0.0237,-2.4443,0.0029,-0.002617398581090224,-0.04260061696939973,3.1256198016140027
2022-12-26-12-37-17-700,0.045510354973645306,-6.4475024988497,-0.005803268432431619,0.0168,-2.4518,0.008,-0.0027274571587653945,-0.04217496804364541,3.125393208449369
2022-12-26-12-37-17-750,0.04669089567947027,-6.570333728491196,-0.00560339378780661,0.0182,-2.4584,0.0007,-0.0024820409846684982,-0.041529338831260684,3.125154216169024
